종목명,현재가,전일비,등락률,NAV,3개월수익률,거래량,거래대금(백만)
TIGER 은행고배당플러스TOP10,"20,075",20,-0.10%,"20,075",+45.46%,"1,467,105","29,376"
TIGER 200 IT,"32,625",205,+0.63%,"32,519",+32.18%,"36,415","1,183"
KODEX 미국AI전력핵심인프라,"16,415",260,+1.61%,"16,303",+58.29%,"2,380,034","39,022"
KODEX 국고채3년,"62,820",55,+0.09%,"62,833",+0.10%,"10,645",668
KODEX 코스피,"32,770",180,+0.55%,"32,801",+29.05%,"293,573","9,595"
TIGER 미국달러SOFR금리액티브(..,"57,815",160,-0.28%,"57,786",-1.00%,"16,254",941
TIGER 2차전지소재Fn,"4,140",90,+2.22%,"4,148",+15.71%,"7,276,244","29,962"
TIGER 인도니프티50,"13,480",40,-0.30%,"13,528",+1.49%,"265,364","3,580"
TIGER 우량회사채액티브,"117,505",125,+0.11%,"117,495",+0.56%,"173,128","20,327"
TIGER 미국달러단기채권액티브,"12,730",35,-0.27%,"12,736",-1.05%,"556,326","7,081"
TIGER 미국테크TOP10타겟커버드..,"13,790",25,-0.18%,"13,763",+27.12%,"223,921","3,093"
RISE KIS국고채30년Enhanced,"80,865",30,+0.04%,"80,915",-6.87%,"16,655","1,344"
ACE 200,"43,860",320,+0.73%,"43,914",+31.64%,"179,984","7,881"
KODEX 자동차,"19,540",145,-0.74%,"19,583",+15.73%,"271,694","5,326"
TIGER 테슬라채권혼합Fn,"13,815",135,+0.99%,"13,770",+8.82%,"435,326","6,023"
KODEX 미국반도체,"27,740",135,-0.48%,"27,567",+47.11%,"133,575","3,701"
KODEX 미국배당커버드콜액티브,"11,655",65,-0.55%,"11,640",+10.39%,"770,349","8,991"
KIWOOM 종합채권(AA-이상)액티브,"109,200",65,-0.06%,"109,245",-0.69%,79,8
TIGER 미국필라델피아AI반도체나..,"12,290",100,-0.81%,"12,202",+48.54%,"1,593,995","19,589"
KODEX 미국나스닥100(H),"17,920",10,-0.06%,"17,876",+25.29%,"107,173","1,918"
KODEX 미국달러SOFR금리액티브(..,"11,955",30,-0.25%,"11,961",-1.03%,"91,923","1,100"
KODEX 국고채10년액티브,"113,870",220,+0.19%,"113,812",-1.64%,"21,076","2,396"
TIGER 미국S&P500(H),"14,995",5,-0.03%,"14,966",+18.05%,"164,035","2,457"
PLUS 머니마켓액티브,"52,450",5,+0.01%,"52,446",+0.77%,"34,098","1,788"
KODEX 인도Nifty50,"13,790",25,-0.18%,"13,832",+1.54%,"213,738","2,942"
PLUS 종합채권(AA-이상)액티브,"115,795",55,+0.05%,"115,675",-0.63%,61,7
RISE 미국30년국채엔화노출(합성..,"8,050",20,+0.25%,"8,061",-9.09%,"914,884","7,338"
KODEX 미국AI테크TOP10타겟커버..,"11,370",10,-0.09%,"11,316",+33.27%,"304,038","3,457"
TIGER 27-04회사채(A+이상)액티..,"53,510",10,+0.02%,"53,505",+0.83%,"25,475","1,362"
KIWOOM 200,"43,600",345,+0.80%,"43,635",+31.42%,"84,301","3,673"
TIGER 2차전지TOP10,"8,270",245,+3.05%,"8,265",+11.52%,"4,620,881","37,875"
RISE 200위클리커버드콜,"9,630",70,+0.73%,"9,632",+25.84%,"1,085,403","10,440"
KODEX 금융고배당TOP10타겟위클..,"13,175",5,+0.04%,"13,158",+43.46%,"1,245,160","16,324"
KODEX 증권,"14,130",150,-1.05%,"14,132",+87.72%,"2,238,810","31,426"
KODEX 은행,"12,275",75,+0.61%,"12,247",+45.67%,"1,348,982","16,461"
TIGER 미국나스닥100커버드콜(합..,"10,085",20,-0.20%,"10,076",+4.83%,"112,223","1,132"
KODEX MSCI선진국,"32,520",70,-0.21%,"32,433",+14.87%,"43,122","1,403"
HANARO 200,"43,775",325,+0.75%,"43,828",+31.42%,"7,566",330
ACE 미국S&P500채권혼합액티브,"12,980",35,-0.27%,"12,973",+3.62%,"239,633","3,112"
TIMEFOLIO 미국나스닥100액티브,"31,875",70,-0.22%,"31,641",+56.90%,"493,645","15,748"
KODEX AI전력핵심설비,"15,520",5,-0.03%,"15,528",+63.58%,"2,595,905","39,890"
KODEX 한국부동산리츠인프라,"4,665",15,-0.32%,"4,676",+2.34%,"1,408,149","6,577"
KODEX 200액티브,"12,625",125,+1.00%,"12,639",+31.54%,"170,025","2,145"
KODEX 미국배당다우존스,"10,295",60,-0.58%,"10,257",+4.84%,"336,679","3,468"
KODEX 27-12 회사채(AA-이상)액..,"10,235",5,+0.05%,"10,234",+0.69%,"3,358",34
RISE KOFR금리액티브(합성),"103,970",5,0.00%,"103,970",+0.66%,"1,487",154
SOL AI반도체소부장,"12,355",45,+0.37%,"12,356",+24.60%,"380,252","4,683"
TIGER 조선TOP10,"20,985",780,+3.86%,"21,023",+20.27%,"1,447,547","30,158"
HANARO 원자력iSelect,"36,400",765,+2.15%,"36,415",+78.22%,"694,945","24,934"
ACE 글로벌반도체TOP4 Plus SOLA..,"31,240",605,-1.90%,"31,048",+47.55%,"227,868","7,114"
KIWOOM 머니마켓액티브,"52,555",5,+0.01%,"52,554",+0.70%,"1,226",64
TIGER 미국S&P500타겟데일리커버..,"10,905",50,-0.46%,"10,885",+16.09%,"365,370","3,984"
TIGER CD금리플러스액티브(합성),"1,001,775",65,+0.01%,"1,001,778",+0.66%,"7,847","7,860"
PLUS 고배당주채권혼합,"14,220",40,-0.28%,"14,172",+15.25%,"872,579","12,392"
SOL 미국AI소프트웨어,"14,810",0,0.00%,"14,758",+29.38%,"396,238","5,865"
TIGER 코리아배당다우존스,"12,455",95,-0.76%,"12,468",N/A,"1,517,413","18,899"
RISE 단기채권알파액티브,"113,070",5,0.00%,"113,073",+0.88%,"3,630",410
RISE 단기통안채,"115,600",5,0.00%,"115,599",+0.68%,"17,622","2,037"
KODEX 테슬라커버드콜채권혼합액..,"8,780",50,+0.57%,"8,797",+4.70%,"459,219","4,031"
ACE 국고채10년,"91,195",130,+0.14%,"91,200",-1.55%,"11,287","1,028"
ACE 머니마켓액티브,"103,670",0,0.00%,"103,675",+0.73%,"10,178","1,055"
KODEX 2차전지산업레버리지,"1,087",67,+6.57%,"1,090",+15.78%,"43,411,448","46,248"
KODEX 미국나스닥100데일리커버..,"9,725",5,+0.05%,"9,656",+17.00%,"519,789","5,043"
KODEX 미국달러선물인버스2X,"5,530",25,+0.45%,"5,549",+2.71%,"757,400","4,174"
KODEX AI반도체,"10,660",70,+0.66%,"10,648",+31.95%,"270,304","2,872"
KODEX 미국머니마켓액티브,"13,930",45,-0.32%,"13,940",N/A,"156,280","2,181"
KODEX 단기변동금리부채권액티브,"114,680",5,0.00%,"114,688",+0.65%,"21,752","2,494"
SOL 미국배당미국채혼합50,"9,990",15,-0.15%,"9,960",+0.76%,"155,629","1,555"
TIGER 화장품,"4,140",5,+0.12%,"4,135",+35.57%,"6,390,461","26,316"
KODEX 미국종합채권ESG액티브(H),"100,925",125,+0.12%,"100,869",+1.61%,"7,896",796
TIGER 반도체,"38,800",290,+0.75%,"38,778",+27.60%,"217,242","8,413"
KODEX 미국30년국채울트라선물(H..,"7,405",30,+0.41%,"7,407",-2.32%,"124,885",921
KODEX ESG종합채권(A-이상)액티..,"115,910",215,-0.19%,"116,028",+1.10%,725,84
SOL 미국30년국채커버드콜(합성),"8,855",5,-0.06%,"8,817",-0.18%,"343,120","3,035"
TIGER 글로벌자율주행&전기차SOL..,"11,600",30,+0.26%,"11,656",+25.56%,"58,559",677
KODEX 고배당주,"13,560",55,-0.40%,"13,577",+30.59%,"762,873","10,338"
TIGER 글로벌AI액티브,"19,730",105,+0.54%,"19,664",+40.73%,"135,379","2,671"
TIGER 200 중공업,"11,230",365,+3.36%,"11,230",+53.83%,"2,224,509","24,708"
TIGER 중장기국채,"52,565",50,+0.10%,"52,563",-0.78%,"18,901",992
ACE 미국30년국채액티브,"9,345",0,0.00%,"9,296",-4.48%,"250,608","2,337"
RISE 글로벌자산배분액티브,"13,470",5,-0.04%,"13,490",+3.85%,"156,020","2,101"
TIGER K방산&우주,"31,400",455,+1.47%,"31,441",+55.35%,"664,207","20,807"
TIGER 미국테크TOP10 INDXX(H),"15,970",10,+0.06%,"15,944",+32.61%,"333,217","5,323"
TIGER 미국나스닥100(H),"18,490",5,+0.03%,"18,439",+25.27%,"116,641","2,153"
ACE 베트남VN30(합성),"24,770",200,+0.81%,"24,791",+20.06%,"312,483","7,748"
KODEX 골드선물(H),"19,955",200,+1.01%,"19,942",-0.98%,"123,850","2,458"
RISE 글로벌원자력,"32,040",900,+2.89%,"31,905",+73.19%,"522,793","16,590"
1Q CD금리액티브(합성),"102,515",0,0.00%,"102,581",+0.66%,"4,958",508
KODEX 25-11 회사채(A+이상)액티..,"10,910",5,+0.05%,"10,919",+0.69%,"1,520",16
RISE 비메모리반도체액티브,"11,290",40,+0.36%,"11,285",+21.62%,"79,415",894
KODEX 코스닥150선물인버스,"3,360",0,0.00%,"3,387",-14.61%,"18,053,383","60,779"
HANARO Fn K-반도체,"11,760",65,+0.56%,"11,741",+29.71%,"316,053","3,710"
TIGER 미국필라델피아반도체레버..,"25,605",125,-0.49%,"25,359",+104.24%,"53,755","1,376"
SOL 200TR,"16,160",120,+0.75%,"16,176",+31.37%,"49,170",793
1Q 단기금융채액티브,"107,890",15,+0.01%,"107,886",+0.71%,"10,737","1,158"
SOL 26-12 회사채(AA-이상)액티..,"52,030",10,+0.02%,"52,035",+0.92%,"4,445",231
KODEX TDF2050액티브,"14,890",50,-0.33%,"14,853",+10.17%,"196,287","2,924"
RISE 200TR,"24,475",185,+0.76%,"24,500",+31.51%,"39,829",973
KODEX 장기종합채권(AA-이상)액..,"102,205",45,+0.04%,"102,283",-2.16%,"1,867",190
TIGER 일본니케이225,"22,520",20,+0.09%,"22,540",+8.04%,"26,378",593
TIGER 지주회사,"14,565",165,-1.12%,"14,594",+52.37%,"723,169","10,535"
ACE 미국달러SOFR금리(합성),"11,695",45,-0.38%,"11,688",-0.97%,"105,950","1,241"
SOL 미국배당다우존스(H),"10,900",20,-0.18%,"10,872",+6.01%,"99,389","1,081"
KODEX TRF3070,"13,945",5,+0.04%,"13,936",+3.95%,"58,485",814
KODEX 미국서학개미,"20,680",130,+0.63%,"20,527",+41.38%,"557,259","11,524"
KIWOOM 인도Nifty50(합성),"25,255",5,+0.02%,"25,265",+1.18%,"50,326","1,268"
TIGER 코스피,"33,330",250,+0.76%,"33,358",+28.43%,"44,693","1,487"
ACE 미국나스닥100채권혼합액티..,"13,650",45,-0.33%,"13,641",+5.63%,"162,161","2,216"
KODEX 미국나스닥100레버리지(합..,"13,620",35,-0.26%,"13,578",+55.97%,"85,828","1,166"
TIGER 26-04 회사채(A+이상)액티..,"51,285",5,+0.01%,"51,289",+0.80%,"3,742",191
TIGER 미국투자등급회사채액티브..,"48,350",55,+0.11%,"48,274",+2.37%,"11,225",542
TIGER 헬스케어,"42,725",575,-1.33%,"42,828",+16.05%,"135,414","5,797"
KODEX 코리아밸류업,"12,700",65,+0.51%,"12,700",+30.78%,"119,508","1,514"
TIGER 글로벌리튬&2차전지SOLACT..,"6,425",5,+0.08%,"6,506",+16.73%,"119,959",769
TIGER 미국테크TOP10채권혼합,"13,035",15,-0.11%,"13,037",+10.83%,"167,927","2,191"
TIGER 삼성그룹펀더멘털,"13,590",30,-0.22%,"13,603",+31.99%,"40,969",556
SOL 금융지주플러스고배당,"16,320",40,+0.25%,"16,346",+48.31%,"542,537","8,832"
TIGER 코스닥150,"14,045",20,-0.14%,"14,091",+17.06%,"466,985","6,547"
TIGER 미국나스닥100채권혼합Fn,"13,235",15,+0.11%,"13,207",+5.76%,"93,609","1,237"
ACE 엔비디아채권혼합블룸버그,"24,260",60,-0.25%,"24,191",+18.55%,"105,024","2,546"
SOL 중단기회사채(A-이상)액티브,"50,895",5,+0.01%,"50,892",+0.85%,"61,746","3,141"
TIGER 미국나스닥100레버리지(합..,"27,330",155,-0.56%,"27,156",+50.85%,"44,121","1,207"
ACE 26-06 회사채(AA-이상)액티..,"11,120",0,0.00%,"11,126",+0.86%,"9,510",105
SOL 미국원자력SMR,"14,350",480,+3.46%,"14,183",N/A,"920,584","13,195"
SOL 미국AI전력인프라,"17,650",380,+2.20%,"17,494",+51.31%,"520,597","9,158"
KODEX 차이나항셍테크,"8,545",100,+1.18%,"8,538",+10.39%,"432,749","3,699"
TIGER 미국AI빅테크10타겟데일리..,"10,555",10,-0.09%,"10,513",+32.56%,"266,138","2,810"
SOL 미국테크TOP10,"13,865",30,-0.22%,"13,819",+31.49%,"163,896","2,277"
ACE 미국빅테크7+데일리타겟커버..,"10,950",5,+0.05%,"11,005",+25.99%,"123,349","1,351"
TIGER 차이나CSI300,"10,515",65,+0.62%,"10,519",+8.23%,"58,356",611
KIWOOM CD금리액티브(합성),"107,330",10,-0.01%,"107,317",+0.63%,645,69
RISE 중기우량회사채,"107,565",85,+0.08%,"107,553",+0.64%,"2,198",236
TIGER 소프트웨어,"9,765",15,-0.15%,"9,773",+25.21%,"506,497","4,951"
KODEX 미국배당다우존스타겟커버..,"9,275",50,-0.54%,"9,236",+0.92%,"205,771","1,911"
RISE 국고채10년액티브,"107,445",175,+0.16%,"107,394",-1.60%,"4,626",496
TIGER 바이오TOP10,"8,305",115,-1.37%,"8,316",+13.17%,"1,137,013","9,460"
KoAct 바이오헬스케어액티브,"16,745",240,-1.41%,"16,738",+20.16%,"548,615","9,167"
RISE 단기국공채액티브,"113,625",10,+0.01%,"113,612",+0.68%,"3,560",404
PLUS 한화그룹주,"24,525",745,+3.13%,"24,535",+25.26%,"290,029","7,112"
HK 종합채권(AA-이상)액티브,"111,320",0,0.00%,"111,415",-0.69%,0,0
TIGER 미국배당다우존스타겟데일..,"8,835",40,-0.45%,"8,798",+4.63%,"212,980","1,882"
RISE 코스피,"33,615",215,+0.64%,"33,676",+28.77%,"7,916",265
TIGER 미국채10년선물,"12,415",5,-0.04%,"12,409",-1.86%,"336,393","4,180"
ACE 미국500데일리타겟커버드콜(..,"10,125",0,0.00%,"10,096",+14.83%,"138,894","1,404"
KODEX 2차전지핵심소재10,"4,225",125,+3.05%,"4,228",+14.17%,"4,412,029","18,553"
TIMEFOLIO Korea플러스배당액티..,"16,935",130,+0.77%,"16,938",+40.16%,"403,403","6,779"
TIMEFOLIO 글로벌우주테크&방산..,"18,330",75,+0.41%,"18,235",+23.47%,"304,069","5,568"
KODEX 200미국채혼합,"14,375",60,+0.42%,"14,371",+10.37%,"190,544","2,738"
SOL 미국S&P500,"18,205",55,-0.30%,"18,152",+16.36%,"43,625",794
KODEX 로봇액티브,"17,050",75,+0.44%,"17,022",+25.41%,"571,040","9,703"
KIWOOM 미국양자컴퓨팅,"11,915",105,+0.89%,"11,770",+60.66%,"314,146","3,720"
RISE 국채선물10년인버스,"54,655",190,-0.35%,"54,683",+3.19%,16,0
RISE AI&로봇,"10,270",25,+0.24%,"10,257",+13.71%,"355,149","3,631"
KODEX 미국S&P500선물(H),"28,105",0,0.00%,"28,105",+18.36%,"11,381",319
KODEX 차이나CSI300,"12,900",120,+0.94%,"12,898",+8.08%,"73,624",947
ACE KPOP포커스,"12,510",515,+4.29%,"12,521",+18.41%,"1,186,737","14,669"
TIGER 국고채30년스트립액티브,"59,780",50,+0.08%,"59,683",-8.06%,"11,554",689
TIGER 여행레저,"3,810",25,+0.66%,"3,797",+28.26%,"526,542","1,995"
KODEX 바이오,"9,695",155,-1.57%,"9,699",+16.91%,"912,844","8,852"
ACE 미국WideMoat동일가중,"27,140",120,-0.44%,"27,035",+14.93%,"18,722",507
1Q K200액티브,"14,115",85,+0.61%,"14,153",+31.55%,"25,762",363
TIGER BBIG,"6,970",50,+0.72%,"6,967",+21.51%,"68,617",476
KIWOOM 26-09회사채(AA-이상)액..,"52,780",0,0.00%,"52,781",+0.81%,988,52
1Q 현대차그룹채권(A+이상)&국고..,"51,545",5,-0.01%,"51,563",+0.78%,204,10
파워 종합채권(AA-이상)액티브,"102,640",0,0.00%,"102,673",-0.72%,0,0
TIGER 미국S&P500동일가중,"10,885",15,-0.14%,"10,849",+10.76%,"57,580",626
TIGER 미디어컨텐츠,"7,135",195,+2.81%,"7,113",+21.65%,"434,888","3,072"
KODEX 은선물(H),"6,725",30,+0.45%,"6,729",+16.64%,"493,499","3,311"
WON 전단채플러스액티브,"51,395",5,+0.01%,"51,387",+0.82%,"6,518",334
RISE IT플러스,"17,150",105,+0.62%,"17,146",+22.62%,"11,603",198
TIGER 코리아밸류업,"12,705",90,+0.71%,"12,708",+30.51%,"184,771","2,341"
TIGER 글로벌혁신블루칩TOP10,"16,460",5,+0.03%,"16,402",+21.62%,"22,866",376
KODEX AI반도체핵심장비,"10,370",0,0.00%,"10,383",+35.17%,"709,552","7,343"
RISE 수소경제테마,"15,300",335,+2.24%,"15,333",+41.81%,"312,343","4,742"
TIGER 차이나과창판STAR50(합성),"7,885",5,-0.06%,"8,031",-0.69%,"36,149",285
KODEX 미국AI테크TOP10,"12,300",15,-0.12%,"12,235",+36.36%,"194,511","2,392"
KIWOOM 단기자금,"103,305",0,0.00%,"103,303",+0.70%,"3,840",396
RISE 코리아밸류업,"12,700",60,+0.47%,"12,698",+31.11%,"582,346","7,383"
TIGER 인도빌리언컨슈머,"10,145",35,-0.34%,"10,180",+1.65%,"47,579",483
SOL 2차전지소부장Fn,"4,085",145,+3.68%,"4,076",+14.70%,"888,833","3,592"
RISE 25-11 회사채(AA-이상)액티..,"52,560",10,+0.02%,"52,558",+0.73%,"3,047",160
RISE 2차전지액티브,"6,000",150,+2.56%,"5,982",+6.75%,"292,575","1,735"
ACE 엔비디아밸류체인액티브,"10,490",75,-0.71%,"10,473",+59.35%,"785,536","8,245"
SOL 국고채10년,"109,025",70,+0.06%,"109,064",-1.49%,309,33
PLUS 국공채머니마켓액티브,"51,535",10,+0.02%,"51,519",+0.73%,"16,392",844
TIGER 미국MSCI리츠(합성 H),"12,365",65,-0.52%,"12,457",+4.13%,"22,611",279
TIGER 미국S&P500선물(H),"66,975",85,-0.13%,"66,967",+17.93%,"5,894",394
KODEX 코스피100,"33,430",300,+0.91%,"33,477",+30.67%,"84,158","2,809"
ACE 단기통안채,"101,975",15,+0.01%,"101,980",+0.66%,"2,332",237
RISE 미국AI밸류체인데일리고정..,"11,805",75,-0.63%,"11,727",+49.43%,"699,340","8,248"
TIGER 미국AI빅테크10,"12,370",15,-0.12%,"12,314",+33.39%,"131,706","1,630"
HK 26-12 회사채(AA-이상)액티브,"102,320",0,0.00%,"102,343",+0.75%,0,0
1Q 중단기회사채(A-이상)액티브,"50,175",10,+0.02%,"50,180",N/A,23,1
PLUS 코스피TR,"17,750",125,+0.71%,"17,708",+28.37%,"8,189",144
KODEX 신재생에너지액티브,"24,620",660,+2.75%,"24,606",+49.43%,"507,594","12,432"
TIGER 글로벌AI전력인프라액티브,"15,835",135,+0.86%,"15,722",+51.25%,"141,458","2,241"
SOL 25-09 회사채(AA-이상)액티..,"54,560",5,+0.01%,"54,556",+0.72%,"3,817",208
KODEX 미국나스닥100선물(H),"26,505",0,0.00%,"26,426",+25.05%,"17,537",464
TIGER 골드선물(H),"21,185",225,+1.07%,"21,186",-0.99%,"31,899",673
TIGER TDF2045,"10,465",30,-0.29%,"10,432",+13.34%,"401,825","4,211"
TIMEFOLIO K바이오액티브,"14,275",225,-1.55%,"14,276",+19.39%,"677,534","9,668"
TIGER 글로벌AI플랫폼액티브,"13,040",115,+0.89%,"12,965",+28.73%,"20,350",265
KODEX 삼성그룹밸류,"9,630",25,+0.26%,"9,660",+23.97%,"14,080",135
TIGER 200TR,"25,280",190,+0.76%,"25,298",+31.67%,"20,057",506
ACE 미국30년국채엔화노출액티브..,"8,670",35,+0.41%,"8,642",-9.32%,"111,598",963
