종목명,현재가,전일비,등락률,NAV,3개월수익률,거래량,거래대금(백만)
KODEX 미국AI전력핵심인프라,15940,475,-2.89,15953,63.48,1468719,23422
KODEX 코스피,32295,475,-1.45,32324,29.39,357315,11639
TIGER 우량회사채액티브,117530,25,0.02,117585,0.6,132949,15627
TIGER 인도니프티50,13500,20,0.15,13556,0.4,135226,1827
TIGER 미국달러단기채권액티브,12740,10,0.08,12735,-0.9,177416,2258
RISE KIS국고채30년Enhanced,81555,690,0.85,81627,-7.1,21957,1791
TIGER 미국테크TOP10타겟커버드콜,13820,30,0.22,13847,29.27,151118,2085
TIGER 2차전지소재Fn,4035,105,-2.54,4040,19.83,4779612,19688
KODEX 자동차,19240,300,-1.54,19267,14.91,456036,8847
ACE 200,43170,690,-1.57,43172,32.46,173698,7547
TIGER 테슬라채권혼합Fn,13725,90,-0.65,13774,10.56,310660,4269
KODEX 미국반도체,27525,215,-0.78,27605,49.34,425100,11694
KODEX 미국배당커버드콜액티브,11675,20,0.17,11675,10.69,445987,5198
KIWOOM 종합채권(AA-이상)액티브,109440,240,0.22,109477,-0.88,196,21
TIGER 미국필라델피아AI반도체나스닥,12230,60,-0.49,12251,50.39,1014581,12405
KODEX 미국나스닥100(H),17935,15,0.08,17965,26.89,260233,4672
KODEX 미국달러SOFR금리액티브(합성),11950,5,-0.04,11968,-1.12,36501,435
KODEX 국고채10년액티브,114130,260,0.23,114128,-1.59,7719,880
PLUS 머니마켓액티브,52450,0,0.0,52450,0.79,57936,3038
TIGER 미국S&P500(H),14975,20,-0.13,14985,19.56,143878,2156
PLUS 종합채권(AA-이상)액티브,115945,150,0.13,115890,-0.73,48,5
KODEX 인도Nifty50,13775,15,-0.11,13851,0.54,137707,1899
RISE 미국30년국채엔화노출(합성 H),8100,50,0.62,8151,-8.76,1036474,8404
TIGER 27-04회사채(A+이상)액티브,53525,15,0.03,53530,0.78,18736,1002
KODEX 미국AI테크TOP10타겟커버드콜,11320,50,-0.44,11350,35.62,327928,3715
KIWOOM 200,42895,705,-1.62,42906,32.29,70701,3058
TIGER 2차전지TOP10,8200,70,-0.85,8197,16.22,3254650,26971
RISE 200위클리커버드콜,9495,135,-1.4,9481,26.44,1560797,14935
KODEX 은행,12160,115,-0.94,12172,44.94,863529,10540
KODEX 증권,14030,100,-0.71,14026,81.06,2595253,36611
KODEX 금융고배당TOP10타겟위클리커버드콜,13080,95,-0.72,13072,42.32,1131682,14836
TIGER 미국나스닥100커버드콜(합성),10075,10,-0.1,10109,6.18,93624,942
KODEX MSCI선진국,32485,35,-0.11,32497,14.87,37462,1216
ACE 미국S&P500채권혼합액티브,12965,15,-0.12,12973,4.3,186994,2420
KODEX AI전력핵심설비,15030,490,-3.16,15029,64.3,3012205,45710
TIMEFOLIO 미국나스닥100액티브,31310,565,-1.77,31348,59.14,511526,16022
HANARO 200,43100,675,-1.54,43087,32.25,7620,329
KODEX 27-12 회사채(AA-이상)액티브,10240,5,0.05,10239,0.74,15061,154
KODEX 한국부동산리츠인프라,4650,15,-0.32,4651,1.68,1596303,7429
KODEX 200액티브,12410,215,-1.7,12425,32.38,19399,241
KODEX 미국배당다우존스,10240,55,-0.53,10232,5.5,186371,1906
RISE KOFR금리액티브(합성),103975,5,0.0,103975,0.67,2238,232
TIGER 조선TOP10,20955,30,-0.14,20980,27.68,1995923,41857
SOL AI반도체소부장,12060,295,-2.39,12067,23.74,351057,4274
ACE 글로벌반도체TOP4 Plus SOLACTIVE,30805,435,-1.39,30855,47.19,97929,3022
KIWOOM 머니마켓액티브,52550,5,-0.01,52556,0.7,1513,79
TIGER 미국S&P500타겟데일리커버드콜,10885,20,-0.18,10911,17.13,181060,1970
PLUS 고배당주채권혼합,14215,5,-0.04,14158,14.43,923030,13129
HANARO 원자력iSelect,34900,1500,-4.12,34893,81.37,692873,24559
TIGER CD금리플러스액티브(합성),1001845,70,0.01,1001848,0.66,4548,4556
SOL 미국AI소프트웨어,14755,55,-0.37,14804,32.21,465209,6854
RISE 단기통안채,115595,5,0.0,115604,0.64,11478,1326
RISE 단기채권알파액티브,113075,5,0.0,113084,0.87,1823,206
ACE 국고채10년,91435,240,0.26,91460,-1.55,4728,432
ACE 머니마켓액티브,103675,5,0.0,103683,0.72,7825,811
TIGER K방산&우주,30440,960,-3.06,30452,57.87,805519,24738
KODEX 테슬라커버드콜채권혼합액티브,8750,30,-0.34,8794,5.73,194465,1703
KODEX 미국나스닥100데일리커버드콜OTM,9720,5,-0.05,9714,17.74,316637,3073
KODEX 미국달러선물인버스2X,5530,0,0.0,5540,2.6,196184,1090
TIGER 중장기국채,52635,70,0.13,52656,-0.81,18908,995
KODEX 2차전지산업레버리지,1053,34,-3.13,1059,26.25,49854239,54092
KODEX AI반도체,10380,280,-2.63,10383,32.0,633622,6637
KODEX ESG종합채권(A-이상)액티브,115945,35,0.03,116083,0.6,690,80
TIGER 화장품,4120,20,-0.48,4122,35.96,5790269,24069
KODEX 단기변동금리부채권액티브,114690,10,0.01,114695,0.65,64,7
SOL 미국배당미국채혼합50,9965,25,-0.25,9966,0.91,188477,1875
KODEX 미국종합채권ESG액티브(H),101140,215,0.21,101165,1.4,3811,385
KODEX 미국30년국채울트라선물(H),7430,25,0.34,7432,-1.2,175580,1304
SOL 미국30년국채커버드콜(합성),8885,30,0.34,8882,0.48,279761,2482
TIGER 반도체,37810,990,-2.55,37816,27.91,163023,6237
KODEX 고배당주,13540,20,-0.15,13547,29.08,641679,8712
TIGER 글로벌자율주행&전기차SOLACTIVE,11475,125,-1.08,11612,27.4,20239,232
KODEX 코스닥150선물인버스,3420,60,1.79,3439,-15.26,32196404,108760
ACE 미국30년국채액티브,9380,35,0.37,9378,-3.5,180049,1684
TIGER 미국나스닥100(H),18500,10,0.05,18529,26.93,186812,3459
TIGER 글로벌AI액티브,19400,330,-1.67,19447,43.96,124558,2420
KODEX 골드선물(H),20070,115,0.58,20085,-1.38,143256,2879
RISE 글로벌자산배분액티브,13490,20,0.15,13506,4.22,255169,3441
ACE 베트남VN30(합성),24450,320,-1.29,24640,23.05,306611,7508
TIGER 미국테크TOP10 INDXX(H),16035,65,0.41,16052,35.11,699396,11226
TIGER 200 중공업,10840,390,-3.47,10848,60.57,1581798,17353
1Q CD금리액티브(합성),102520,5,0.0,102588,0.65,1953,200
KODEX 25-11 회사채(A+이상)액티브,10910,0,0.0,10920,0.74,34245,373
KODEX 장기종합채권(AA-이상)액티브,102660,455,0.45,102631,-2.28,1554,159
RISE 글로벌원자력,30620,1420,-4.43,30633,79.4,642020,19785
RISE 비메모리반도체액티브,11005,285,-2.52,11007,20.04,196055,2178
1Q 단기금융채액티브,107895,5,0.0,107893,0.7,4529,488
SOL 26-12 회사채(AA-이상)액티브,52045,15,0.03,52045,0.89,3769,196
KODEX TDF2050액티브,14910,20,0.13,14896,10.95,177155,2638
HANARO Fn K-반도체,11450,310,-2.64,11454,29.15,199949,2319
TIGER 미국필라델피아반도체레버리지(합성),25150,455,-1.78,25440,112.07,139065,3500
TIGER 일본니케이225,22495,25,-0.11,22514,8.56,14705,332
SOL 200TR,15900,260,-1.61,15902,32.24,96548,1543
ACE 미국달러SOFR금리(합성),11705,10,0.09,11698,-1.06,45838,535
RISE 200TR,24090,385,-1.57,24092,32.4,23279,564
TIGER 지주회사,14430,135,-0.93,14438,51.06,555461,8068
SOL 미국배당다우존스(H),10835,65,-0.6,10836,6.95,103780,1126
KODEX TRF3070,13910,35,-0.25,13946,4.42,52970,737
KODEX 미국나스닥100레버리지(합성 H),13670,50,0.37,13709,59.48,168357,2303
ACE 미국나스닥100채권혼합액티브,13650,0,0.0,13644,6.18,155170,2114
KIWOOM 인도Nifty50(합성),25175,80,-0.32,25309,0.06,41591,1049
TIGER 코스피,32825,505,-1.52,32865,29.25,71183,2350
TIGER 26-04 회사채(A+이상)액티브,51290,5,0.01,51297,0.76,5590,286
TIGER 미국투자등급회사채액티브(H),48485,135,0.28,48453,2.44,12568,609
KODEX 코리아밸류업,12485,215,-1.69,12499,30.91,217334,2732
KODEX 미국서학개미,20300,380,-1.84,20413,45.06,520942,10606
TIGER 글로벌리튬&2차전지SOLACTIVE(합성),6495,70,1.09,6557,16.82,136422,882
TIGER 미국테크TOP10채권혼합,13050,15,0.12,13088,11.79,176925,2311
SOL 금융지주플러스고배당,16240,80,-0.49,16231,46.3,500905,8165
TIGER 삼성그룹펀더멘털,13355,235,-1.73,13347,31.76,102316,1382
ACE 엔비디아채권혼합블룸버그,24120,140,-0.58,24146,19.21,92441,2230
TIGER 미국나스닥100채권혼합Fn,13250,15,0.11,13242,6.35,109040,1444
SOL 중단기회사채(A-이상)액티브,50910,15,0.03,50906,0.83,53169,2706
TIGER 헬스케어,42550,175,-0.41,42550,14.79,268001,11528
TIGER 코스닥150,13800,245,-1.74,13868,17.93,597002,8334
TIGER 미국나스닥100레버리지(합성),27355,25,0.09,27459,54.36,269134,7330
ACE 26-06 회사채(AA-이상)액티브,11115,5,-0.04,11127,0.86,9235,102
KODEX 차이나항셍테크,8535,10,-0.12,8542,9.83,609007,5191
ACE 미국빅테크7+데일리타겟커버드콜(합성),11075,125,1.14,11102,28.27,161293,1780
SOL 미국AI전력인프라,17085,565,-3.2,17100,56.42,507260,8683
TIGER 차이나CSI300,10580,65,0.62,10587,8.4,92302,970
SOL 미국테크TOP10,13910,45,0.32,13923,33.42,120353,1673
TIGER 미국AI빅테크10타겟데일리커버드콜,10550,5,-0.05,10567,35.13,161626,1704
KIWOOM CD금리액티브(합성),107360,30,0.03,107338,0.63,80,8
RISE 중기우량회사채,107615,50,0.05,107604,0.65,531,57
RISE 국고채10년액티브,107700,255,0.24,107674,-1.55,187,20
TIGER 바이오TOP10,8265,40,-0.48,8264,12.15,2165371,18052
KODEX 미국배당다우존스타겟커버드콜,9210,65,-0.7,9195,1.61,120472,1109
KoAct 바이오헬스케어액티브,16700,45,-0.27,16718,18.46,998709,16817
TIGER 소프트웨어,9605,160,-1.64,9616,25.42,921739,8910
RISE 단기국공채액티브,113615,10,-0.01,113614,0.68,319,36
HK 종합채권(AA-이상)액티브,111520,140,0.13,111620,-0.8,1,0
TIGER 미국채10년선물,12435,20,0.16,12431,-1.62,263743,3275
PLUS 한화그룹주,24445,80,-0.33,24469,29.11,177723,4361
TIGER 미국배당다우존스타겟데일리커버드콜,8775,60,-0.68,8775,5.37,159816,1403
RISE 코스피,33150,465,-1.38,33183,29.15,3999,133
ACE 미국500데일리타겟커버드콜(합성),10090,35,-0.35,10106,16.23,76825,774
KODEX 2차전지핵심소재10,4125,100,-2.37,4130,19.62,2771830,11662
TIMEFOLIO Korea플러스배당액티브,16590,345,-2.04,16593,40.49,338904,5688
TIMEFOLIO 글로벌우주테크&방산액티브,18075,255,-1.39,18044,24.61,288074,5196
KODEX 200미국채혼합,14315,60,-0.42,14290,11.0,144954,2081
SOL 미국S&P500,18175,30,-0.16,18186,17.92,24727,448
KODEX 로봇액티브,16735,315,-1.85,16731,26.37,552153,9311
RISE 국채선물10년인버스,54555,100,-0.18,54560,2.78,7,0
KODEX 미국S&P500선물(H),28060,45,-0.16,28091,19.75,10675,299
RISE AI&로봇,10015,255,-2.48,10020,14.3,520027,5249
KODEX 차이나CSI300,12955,55,0.43,12976,8.59,131201,1689
TIGER 국고채30년스트립액티브,60350,570,0.95,60312,-8.2,18182,1097
KIWOOM 미국양자컴퓨팅,11500,415,-3.48,11535,64.55,399738,4621
ACE KPOP포커스,12305,205,-1.64,12320,25.16,945486,11703
TIGER 여행레저,3795,15,-0.39,3796,28.46,792664,3019
KODEX 은선물(H),6800,75,1.12,6805,15.65,719465,4903
ACE 미국WideMoat동일가중,26965,175,-0.64,26968,16.66,11625,312
1Q 현대차그룹채권(A+이상)&국고통안,51570,25,0.05,51579,0.72,1507,77
TIGER BBIG,6895,75,-1.08,6893,23.04,43301,299
파워 종합채권(AA-이상)액티브,102725,75,0.07,102850,-0.86,1,0
1Q K200액티브,13900,215,-1.52,13916,32.22,15962,222
TIGER 미국S&P500동일가중,10815,70,-0.64,10818,11.16,51977,561
WON 전단채플러스액티브,51385,10,-0.02,51391,0.83,3917,201
TIGER 미디어컨텐츠,6960,175,-2.45,6968,27.3,280814,1972
TIGER 글로벌혁신블루칩TOP10,16490,30,0.18,16513,24.09,22827,375
RISE 코리아밸류업,12505,195,-1.54,12503,31.46,385981,4859
KIWOOM 단기자금,103305,0,0.0,103308,0.68,5702,589
TIGER 차이나과창판STAR50(합성),7945,60,0.76,8092,-2.05,61369,485
KODEX 미국AI테크TOP10,12280,20,-0.16,12309,38.65,127009,1560
TIGER 코리아밸류업,12515,190,-1.5,12513,31.1,234970,2950
RISE IT플러스,16795,355,-2.07,16791,23.02,2780,47
KODEX AI반도체핵심장비,10070,300,-2.89,10085,34.14,940538,9607
KIWOOM 26-09회사채(AA-이상)액티브,52790,10,0.02,52784,0.77,505,26
TIGER 인도빌리언컨슈머,10177,32,0.32,10256,1.81,38065,388
KODEX 바이오,9585,110,-1.13,9580,15.35,865511,8363
RISE 수소경제테마,14860,440,-2.88,14878,44.23,162033,2427
RISE 25-11 회사채(AA-이상)액티브,52555,5,-0.01,52560,0.74,1796,94
SOL 국고채10년,109345,320,0.29,109344,-1.59,463,50
ACE 엔비디아밸류체인액티브,10420,70,-0.67,10513,60.64,847654,8857
SOL 2차전지소부장Fn,3990,95,-2.33,3992,20.32,675166,2734
PLUS 국공채머니마켓액티브,51535,0,0.0,51522,0.73,10069,518
RISE 2차전지액티브,5865,135,-2.25,5866,10.7,204211,1214
TIGER 미국MSCI리츠(합성 H),12370,5,0.04,12478,4.28,13549,167
TIGER 미국S&P500선물(H),66930,45,-0.07,66920,19.16,3118,208
ACE 단기통안채,101990,15,0.01,101987,0.65,10226,1042
RISE 미국AI밸류체인데일리고정커버드콜,11700,105,-0.89,11725,50.8,524693,6141
KODEX 코스피100,32860,570,-1.71,32870,31.58,179449,5936
HK 26-12 회사채(AA-이상)액티브,102325,0,0.0,102359,0.76,0,0
TIGER 미국AI빅테크10,12375,5,0.04,12385,35.49,94998,1173
TIGER 글로벌AI전력인프라액티브,15515,320,-2.02,15470,55.09,505669,7838
TIMEFOLIO K바이오액티브,14125,150,-1.05,14138,18.12,882111,12644
PLUS 코스피TR,17420,330,-1.86,17443,29.04,7137,124
KODEX 신재생에너지액티브,23740,880,-3.57,23743,53.88,549278,13245
SOL 25-09 회사채(AA-이상)액티브,54555,5,-0.01,54560,0.72,2248,122
KODEX 미국나스닥100선물(H),26515,10,0.04,26547,26.82,10417,276
TIGER TDF2045,10440,25,-0.24,10424,14.12,265363,2770
TIGER 글로벌AI플랫폼액티브,12980,60,-0.46,13094,30.92,12016,155
ACE 미국30년국채엔화노출액티브(H),8710,40,0.46,8725,-8.85,121718,1059
KODEX 삼성그룹밸류,9505,125,-1.3,9519,24.45,43769,420
TIGER 골드선물(H),21310,125,0.59,21334,-1.58,134820,2876
HANARO 25-12 은행채(AA+이상)액티브,10270,5,-0.05,10272,0.83,452,4
1Q 25-08 회사채(A+이상)액티브,109080,5,0.0,109077,0.71,288,31
ACE 중국본토CSI300,29000,230,0.8,29147,7.43,6234,179
KIWOOM 25-09 회사채(AA-이상)액티브,51500,5,0.01,51503,0.73,5129,264
TIGER 미국S&P500배당귀족,12040,90,-0.74,12053,4.66,47915,576
TIGER 200TR,24870,410,-1.62,24868,32.43,32812,819
HANARO 200TR,55650,895,-1.58,55657,32.11,311,17
ACE 미국빅테크TOP7 Plus레버리지(합성),28780,80,0.28,28943,68.72,51146,1470
BNK 26-06 특수채(AAA이상)액티브,51100,0,0.0,51097,0.68,0,0
마이티 26-09 특수채(AAA)액티브,106625,40,0.04,106615,0.71,16,1
KODEX 배당가치,17090,210,-1.21,17075,30.46,14638,251
TIGER 미국다우존스30,30070,85,-0.28,30074,11.93,13540,406
KODEX 메타버스액티브,8055,105,-1.29,8062,19.46,38888,315
TIGER 배당커버드콜액티브,11820,160,-1.34,11816,23.35,42826,509
KODEX 미국S&P500데일리커버드콜OTM,9300,70,-0.75,9317,15.14,153913,1430
KODEX 삼성전자채권혼합,11220,80,-0.71,11213,6.59,356506,4002
RISE 메타버스,6730,115,-1.68,6726,19.98,24913,168
PLUS 고배당주위클리커버드콜,11130,5,0.04,11131,28.38,206859,2307
KIWOOM 단기채권ESG액티브,108625,0,0.0,108638,0.71,23,2
KODEX 성장주,17365,290,-1.64,17359,28.56,1415,24
TIGER 200선물레버리지,18740,635,-3.28,18737,72.61,167022,3201
TIGER 2차전지TOP10레버리지,1159,35,-2.93,1165,30.63,10552205,12666
ACE 11월만기자동연장회사채AA-이상액티브,10680,10,0.09,10678,0.71,3786,40
RISE 코스닥150,13400,200,-1.47,13465,17.55,83086,1125
KODEX 반도체레버리지,11140,600,-5.11,11220,58.43,626698,7133
TIGER 인터넷TOP10,4555,85,-1.83,4558,24.4,780757,3583
RISE 미국S&P500(H),15210,15,-0.1,15213,19.8,77183,1174
SOL 화장품TOP3플러스,15530,5,-0.03,15534,42.72,455996,7117
TIGER 중국소비테마,8210,15,-0.18,8210,25.75,38887,320
TIGER 국채3년,106570,20,0.02,106549,0.17,2660,283
RISE 미국테크100데일리고정커버드콜,10230,25,-0.24,10242,27.76,231709,2370
RISE 2차전지TOP10인버스(합성),34665,790,2.33,34658,-15.4,231915,7897
SOL KEDI메가테크액티브,22670,635,-2.72,22666,40.8,169079,3881
TIGER 차이나CSI300레버리지(합성),18895,105,0.56,19311,12.62,34458,647
SOL K방산,24260,490,-1.98,24260,39.19,234907,5726
RISE 국고채3년선물인버스,110710,30,0.03,110676,1.03,2,0
HANARO Fn조선해운,25110,50,0.2,25153,28.9,299980,7582
HANARO 종합채권(AA-이상)액티브,115025,355,0.31,114882,-0.98,500,57
RISE 대형고배당10TR,23665,395,-1.64,23675,34.3,41151,977
ACE 미국반도체데일리타겟커버드콜(합성),9890,75,-0.75,9967,40.71,81485,807
1Q 미국S&P500,10660,15,-0.14,10666,17.8,123041,1310
KODEX 미디어&엔터테인먼트,13680,150,-1.08,13696,21.95,190332,2616
ACE 8월만기자동연장회사채AA-이상액티브,10555,5,0.05,10560,0.52,10042,105
TIGER 글로벌AI&로보틱스 INDXX,12960,185,-1.41,12981,22.11,61804,802
TIGER Fn메타버스,7640,100,-1.29,7656,21.77,33989,261
TIGER AI반도체핵심공정,8960,210,-2.29,8980,24.59,604626,5473
TIGER 글로벌4차산업혁신기술(합성 H),18365,65,-0.35,18543,22.01,9192,168
KODEX TRF5050,16617,53,-0.32,16664,7.31,40182,667
RISE 코스닥150선물레버리지,10190,345,-3.27,10228,35.59,52383,544
RISE ESG사회책임투자,15770,215,-1.35,15767,32.36,32161,510
ACE 미국주식베스트셀러,19000,70,-0.37,19034,35.01,185473,3523
KODEX 미국10년국채선물,11735,20,0.17,11733,-1.8,47288,554
파워 200,43375,730,-1.66,43406,32.28,3518,154
TIGER 증권,9535,80,-0.83,9548,61.49,832581,8003
RISE 고배당,17015,190,-1.1,17033,31.52,101293,1743
ACE 미국30년국채선물레버리지(합성 H),5315,55,1.05,5319,-3.66,254129,1350
SOL CD금리&머니마켓액티브,50105,5,0.01,50101,0.77,20501,1027
SOL 미국S&P500ESG,16855,100,-0.59,16842,17.36,15786,265
HANARO 머니마켓액티브,51785,0,0.0,51786,0.75,5375,278
RISE 버크셔포트폴리오TOP10,12245,60,-0.49,12298,2.84,54408,665
TIGER 현대차그룹+펀더멘털,33715,485,-1.42,33745,30.45,39629,1344
KIWOOM 미국S&P500,17520,15,-0.09,17526,17.8,3833,67
ACE 단기채권알파액티브,110945,30,0.03,110936,0.73,947,105
KODEX 미국달러선물인버스,8120,15,0.19,8125,1.57,8070,65
KODEX 미국휴머노이드로봇,13070,190,-1.43,13135,42.43,742205,9724
PLUS 신흥국MSCI(합성 H),11150,70,-0.62,11205,16.75,14354,161
TIGER 글로벌온디바이스AI,11570,145,1.27,11551,31.82,456489,5277
TIGER Fn신재생에너지,13585,505,-3.58,13619,70.73,1150151,15662
TIMEFOLIO 코스피액티브,11565,230,-1.95,11570,24.95,53176,618
KoAct 글로벌AI&로봇액티브,16145,430,-2.59,16210,39.29,61576,998
TIGER 200선물인버스2X,1414,42,3.06,1414,-43.66,4263495,5934
KODEX 헬스케어,19195,90,-0.47,19190,15.31,471880,9137
TIGER 코스닥150 레버리지,10210,315,-2.99,10200,36.42,423753,4426
TIGER 경기방어,11835,10,0.08,11830,17.43,26463,312
WON 25-09 회사채(AA-이상)액티브,54930,20,0.04,54917,0.7,12,0
TIGER 미국배당다우존스타겟커버드콜1호,10760,50,-0.46,10751,4.24,20783,223
RISE 중국본토대형주CSI100,19210,165,0.87,19251,6.96,15342,292
KODEX TRF7030,19475,85,-0.43,19517,10.85,28236,549
ACE 원자력테마딥서치,30920,1180,-3.68,30964,62.47,59069,1847
HANARO Fn K-POP&미디어,9365,110,-1.16,9371,23.21,207356,1956
KODEX 미국S&P500버퍼3월액티브,10030,15,-0.15,10101,11.43,8260,82
PLUS 미국S&P500(H),25000,40,-0.16,25010,19.34,3146,78
RISE 미국배당100데일리고정커버드콜,8820,45,-0.51,8796,5.37,117256,1033
RISE 2차전지TOP10,8100,190,-2.29,8106,13.95,501962,4138
KODEX 배당성장채권혼합,14515,55,-0.38,14508,9.74,66458,967
TIGER 레버리지,24375,745,-2.97,24378,72.71,192245,4757
